full_name,county,state,state_abr,population_19,unemp_19%,nohealth_ins%,poverty_rate%,SNAP_recieved%,no_homecomp%,no_homeinternet%,home_havebroad%,broadProviders_num,broad_avail,broad_cost,population_bbn,Lowestpricepermonth_bbn,wired_bbn,provide_bbn,all25_bbn,downave_bbn,access_bbn,slowfrac_bbn
"Autauga County, Alabama",Autauga,Alabama,AL,55869,2.7,7.1,15.4,12.7,13,20.9,78.9,0,0,,55059,35,5.433316987,11.95873517,8.131567954,83.95189996,90.76467063,0.163751612
"Baldwin County, Alabama",Baldwin,Alabama,AL,223234,2.7,10.2,10.6,7.5,11.4,21.3,78.1,0,0,,180490,35,4.207573827,10.1678985,6.349044268,63.76047897,92.42876614,0.691290376
"Barbour County, Alabama",Barbour,Alabama,AL,24686,3.8,11.2,28.9,27.4,23.9,38.9,60.4,4,99.2,74.99,24729,35,6.778438271,12.95939989,7.70435521,47.47149743,79.68369121,0.134174451
"Bibb County, Alabama",Bibb,Alabama,AL,22394,3.1,7.9,14,12.4,23.7,33.8,66.1,0,0,,23339,35,3.165045632,9.318822572,4.041689875,29.73268478,41.7380779,0.499892883
"Blount County, Alabama",Blount,Alabama,AL,57826,2.7,11,14.4,9.5,21.3,30.6,68.5,0,0,,44950,35,4.984382647,13.23105673,7.862335929,20.74973971,79.69764182,1
"Bullock County, Alabama",Bullock,Alabama,AL,10101,3.6,10.8,31.4,25.9,27.1,40.1,58.9,1,40.1,57.99,11450,71.95,5.249694323,11.01475983,3.828209607,28.02064017,87.18812227,0.234934498
"Butler County, Alabama",Butler,Alabama,AL,19448,3.6,10.2,23.5,18.6,29.9,37,62.1,0,0,,18373,65,5.532030697,10.5320307,6.532030697,33.47899581,81.8105372,0
"Calhoun County, Alabama",Calhoun,Alabama,AL,113605,3.5,9.4,18.6,17.9,15.3,26.6,73,2,86.5,74.99,114816,35,5.110341764,10.40935061,7.027278428,66.40877099,96.20633884,0.205311106
"Chambers County, Alabama",Chambers,Alabama,AL,33254,2.9,10.8,16.6,14.7,24.2,33,66.5,1,93,299.95,34422,35,4.931264889,10.12367091,5.270350357,65.96271512,88.67177968,0.045058393
"Cherokee County, Alabama",Cherokee,Alabama,AL,26196,2.9,8.3,15,15.9,19.9,31,68.6,2,25.6,187.47,25175,65,3.227090367,11.22709037,7.70959285,23.49120437,99.48250248,0.148480636
"Chilton County, Alabama",Chilton,Alabama,AL,44428,2.7,14.2,18.6,18.2,22,37.7,61.8,2,99.5,74.99,32192,35,4.940730616,11.30072689,6.940730616,36.72984189,82.46474279,0.260592694
"Choctaw County, Alabama",Choctaw,Alabama,AL,12589,4.7,11.4,22.2,24.7,25.9,40.9,58.3,2,49.4,115,12454,66.95,1.851292757,6.851292757,2.778304159,13.2511402,25.82174402,0.670949093
"Clarke County, Alabama",Clarke,Alabama,AL,23622,5.8,10.8,25.4,19.5,34.7,46.2,53.2,2,99,74.96,25939,55,5.472917229,10.23902232,5.861636917,20.72705154,74.10921778,0.616754694
"Clay County, Alabama",Clay,Alabama,AL,13235,3,10.2,18.4,15.7,21.1,31.5,68.2,1,86.6,115,13288,69.99,1.924443107,6.921809151,3.801475015,73.60014073,40.74360325,0.19589103
"Cleburne County, Alabama",Cleburne,Alabama,AL,14910,3.2,12.8,18.5,15.3,20.1,38.6,60.4,,,,12968,55,2.892427514,8.224706971,4.335441086,46.9888942,6.664481801,0
"Coffee County, Alabama",Coffee,Alabama,AL,52342,2.9,10.1,15.1,12.8,14.5,21.6,77.6,0,0,,53355,65,4.693187143,9.665898229,6.651991379,44.15942348,90.76343361,0.275119483
"Colbert County, Alabama",Colbert,Alabama,AL,55241,3.7,8.1,16.3,11.9,18.6,31.1,68.2,3,92.6,74.99,52812,35,5.386540938,11.13877528,7.386540938,48.46680963,93.40024994,0.164318715
"Conecuh County, Alabama",Conecuh,Alabama,AL,12067,4,14.5,22.2,17.8,42.4,52.2,47.2,0,0,,10734,55,4.774548165,10.54909633,4.549096329,15.95075275,52.57108254,0.225451835
"Coosa County, Alabama",Coosa,Alabama,AL,10663,3,7.8,14,10.3,24.8,35.1,64.3,0,0,,11022,69.99,4.296407186,10.02930503,4.296407186,64.95275631,76.0784794,0.32580294
"Covington County, Alabama",Covington,Alabama,AL,37049,3.4,11.2,18.3,14.4,23.4,30.6,68.6,0,0,,38199,69.99,3.084845153,7.457315637,4.093065263,31.69141601,83.17081599,0.21537213
"Crenshaw County, Alabama",Crenshaw,Alabama,AL,13772,2.8,10,15.7,18.7,29.1,40.1,59.6,1,81.4,187.47,12580,69.95,6.500794913,10.85771065,5.435135135,51.23369157,71.31224165,0.224006359
"Cullman County, Alabama",Cullman,Alabama,AL,83768,2.6,11.8,15.8,12,18.7,29.2,69.9,0,0,,77878,35,4.454120548,12.32738386,6.497598808,54.99625517,85.40472277,0.304591797
"Dale County, Alabama",Dale,Alabama,AL,49172,3.1,11.4,18.4,19.2,15.6,26.3,72.9,1,98,74.99,40406,44.99,4.271618077,9.271618077,6.271618077,80.6960788,96.77280602,0.114760184
"Dallas County, Alabama",Dallas,Alabama,AL,37196,5.5,12,31.1,31,28.2,35.9,63.4,1,97.7,299.95,40723,69.99,3.980355082,10.96071016,3.930948113,54.90860865,84.76264028,0.069051887
"DeKalb County, Alabama",DeKalb,Alabama,AL,71513,2.8,14.5,22.1,19,21,32.4,67,1,2.3,187.47,61787,55,4.816967971,12.12810138,7.043730882,35.73900367,98.37522456,0.816838494
"Elmore County, Alabama",Elmore,Alabama,AL,81209,2.6,8.2,12.3,12.7,13.4,20.1,79.6,3,87.2,139.99,85618,35,6.548856549,13.13056834,8.605526875,49.40089993,94.69534444,0.16995258
"Escambia County, Alabama",Escambia,Alabama,AL,36633,3.5,15.5,24,16.9,34.6,42,57.3,1,90.1,187.47,34557,69.99,3.406545707,9.406545707,3.531151431,44.20906502,76.68848569,0
"Etowah County, Alabama",Etowah,Alabama,AL,102268,3.3,10.4,17.3,14.1,16.6,26.1,73.4,0,0,,120492,35,6.559821399,13.66097334,9.112638183,66.28941697,93.75158517,0.454602795
"Fayette County, Alabama",Fayette,Alabama,AL,16302,3.1,8.8,20,18.5,22.2,30.7,68.9,0,0,,15585,55,3.903304459,9.556304139,3.597305101,33.00813924,19.422265,0.096695541
"Franklin County, Alabama",Franklin,Alabama,AL,31362,2.8,12.8,20.2,17.7,28.4,40,59.7,6,81.6,63.33,31124,39.99,4.963018892,11.25064259,4.683973782,118.2970736,68.23056162,0.045559697
"Geneva County, Alabama",Geneva,Alabama,AL,26271,2.9,13.7,24,18.7,20.2,32.2,66.9,7,91.2,70,24153,69.99,2.715521881,7.715521881,4.715521881,42.78613216,60.37266592,0.024634621
"Greene County, Alabama",Greene,Alabama,AL,8111,5.6,11.4,38.7,41.8,44.8,53.7,46.2,5,69.2,67.5,8619,55,1.717484627,8.645898596,3.200023205,32.46641954,46.95219863,0.258730711
"Hale County, Alabama",Hale,Alabama,AL,14651,3.9,8.8,26,27.1,34.4,44.8,54.9,4,29.9,70,14893,55,4.826227087,13.49446048,6.154300678,16.10252535,74.05646948,0.585039952
"Henry County, Alabama",Henry,Alabama,AL,17205,3.6,11.4,13.5,17.3,19,26.6,72.2,9,69.4,70.59,14605,44.99,5,10.92885998,6.53557001,17.84702636,64.74899007,0.46442999
"Houston County, Alabama",Houston,Alabama,AL,105882,3,10.4,18.3,14.7,19.9,28.5,70.4,2,88.2,67.97,104259,44.99,5.884364899,10.8843649,7.123106878,62.66719286,86.13710087,0.228402344
"Jackson County, Alabama",Jackson,Alabama,AL,51626,3.3,9.6,20.2,12.7,21.7,32.4,67.1,7,79.2,65,53695,65,6.29196387,12.18148803,7.065108483,41.52650805,96.16552752,0.784318838
"Jefferson County, Alabama",Jefferson,Alabama,AL,658573,2.9,9.5,17,14.7,13.8,23.3,76.4,6,92,65,658136,35,5.740670621,10.92416309,7.434973926,77.00229029,99.74321417,1
"Lamar County, Alabama",Lamar,Alabama,AL,13805,3.1,9.4,21.2,17.6,23.3,36.1,63,4,82.3,66.24,10177,49.95,2.897415741,7.794831483,4.439127444,44.18209394,49.48039697,0.102584259
"Lauderdale County, Alabama",Lauderdale,Alabama,AL,92729,3.3,9.1,15.2,12.8,19.2,30.9,68.7,3,47.8,66.19,91354,35,4.976673162,10.43076384,6.967160715,59.9649965,89.33088863,0.154092869
"Lawrence County, Alabama",Lawrence,Alabama,AL,32924,3.1,8.2,16.8,15.4,24,39.8,59.2,7,67,67.5,33426,35,3.54305032,9.981152396,5.238347394,43.77729462,74.1512595,0.336743852
"Lee County, Alabama",Lee,Alabama,AL,164542,2.7,7.9,21.4,11.7,9.7,19.3,80.3,2,28.5,72.45,139861,35,7.323750009,13.79421712,8.995788676,57.60829724,96.0494634,0.445978507
"Limestone County, Alabama",Limestone,Alabama,AL,98915,2.6,9.6,13.7,11.4,14.2,22.8,76.6,5,64.4,68.65,79488,35,7.489533011,13.98350694,9.247961957,57.49215731,95.4507976,0.310424215
"Lowndes County, Alabama",Lowndes,Alabama,AL,9726,5.7,9.2,27.9,32.3,33.8,50,49.4,3,43.4,61.66,7480,69.99,4.469652406,10.62540107,3.469652406,7.649971925,23.26483957,1
"Macon County, Alabama",Macon,Alabama,AL,18068,4.3,8.1,25.8,24.2,26.5,43.5,55.8,4,14.5,57.5,20764,55,4.528655365,10.29907532,4.409266037,60.71685224,72.93397226,0.01218455
"Madison County, Alabama",Madison,Alabama,AL,372909,2.5,8.9,13.2,10.6,9.1,15.8,83.9,8,90.2,69.99,337795,35,8.467872526,14.82076111,10.44789591,100.0476418,98.4210986,0.561136192
"Marengo County, Alabama",Marengo,Alabama,AL,18863,3.5,9.6,21.8,21,32.6,45.8,53.1,7,80.3,67.35,18905,55,4.876963766,12.95022481,3.727056334,16.49774293,49.02539011,0.827558847
"Marion County, Alabama",Marion,Alabama,AL,29709,3.4,10.5,17.5,14.8,22.4,34.8,64.6,3,44.9,60,28335,49.95,4.11148756,9.712969825,4.566543145,30.81644609,81.60077642,0.453502735
"Marshall County, Alabama",Marshall,Alabama,AL,96774,2.5,13.1,21.7,15.6,17.5,25.4,74.5,7,81.2,67.5,99356,35,6.888149684,13.65389106,8.189490318,57.11007297,93.19910222,0.167971738
"Mobile County, Alabama",Mobile,Alabama,AL,413210,3.7,11.6,19.3,17,17.5,27.1,72.2,5,85.4,69.99,411185,35,6.357955665,11.9286866,8.517368095,63.93724985,96.7425052,0.849568929
"Monroe County, Alabama",Monroe,Alabama,AL,20733,4.9,13.4,30.9,15.9,49.6,57,41.6,6,72.3,67.46,17596,69.99,1.902818822,6.189815867,2.902818822,21.09976586,77.07433508,0.38974767
"Montgomery County, Alabama",Montgomery,Alabama,AL,226486,3.1,10.5,20.7,19.1,14.1,22.4,77.4,3,77.5,63.33,227274,35,6.804971092,13.20991402,9.518035499,83.83540537,98.30584229,0.259268548
"Morgan County, Alabama",Morgan,Alabama,AL,119679,2.6,10.2,15.3,13.5,16.1,26.5,72.8,5,94.3,74.99,117659,35,6.323103205,13.64255178,7.435138833,89.64562362,93.56545611,0.241485989
"Perry County, Alabama",Perry,Alabama,AL,8923,5.2,12.7,41.8,38.8,44.1,52.9,46.2,3,78.3,65,9530,55,2.353095488,11.70619098,2.646904512,21.60396118,0,0
"Pickens County, Alabama",Pickens,Alabama,AL,19930,3.5,8.5,23.5,16.1,27.1,36.7,62.8,6,90,69.79,14715,55,3.737071016,9.149915053,5.487801563,25.10275841,46.32409106,0
"Pike County, Alabama",Pike,Alabama,AL,33114,3.3,9.6,26.6,16.5,30.7,39.1,59.2,9,92.8,60,34385,55,6.792816635,11.79281664,5.809568126,68.64976094,57.06118947,0.148378653
"Randolph County, Alabama",Randolph,Alabama,AL,22722,3,10.5,17.7,15,20.4,29.1,68.9,2,75.1,70,22089,69.99,4.348635067,9.465978541,5.328987279,21.5687161,59.4457875,0.493005568
"Russell County, Alabama",Russell,Alabama,AL,57961,2.9,13.4,20.1,19.2,17.5,33.4,66.2,6,94.5,69.81,50579,35,6.899068783,13.26979577,8.518752842,56.54427529,94.23140038,0.116629431
"St. Clair County, Alabama",St. Clair,Alabama,AL,89512,2.7,8.8,13.2,10.9,14.6,23.9,75.2,3,27.2,58.63,75927,50,6.772781751,12.09627669,6.961963465,35.60451868,86.70267494,0.807894425
