assessment_id,candidate_id,assessment_type,assessment_date,raw_score,standard_score,passed_flag
59df196d-d50f-4bea-b779-8a29744eea56,C00002,work_sample,2025-05-14,42.74,-0.726,0
a2fa69b2-ed10-4938-980d-349d1c4d2498,C00006,work_sample,2025-07-08,54.42,0.442,0
9eaeb622-2547-430c-824c-3b1dc9020683,C00012,work_sample,2025-04-30,45.86,-0.414,0
6166f4b9-8d9e-47f2-a277-cbc4c783690f,C00014,work_sample,2025-07-27,37.69,-1.231,0
ea67a7dd-4092-46f4-88fe-eeaa3fa8a051,C00015,work_sample,2025-11-14,65.25,1.525,1
1d6c1299-baa2-4948-9ed3-86fb9c1da5f7,C00016,work_sample,2025-03-24,63.34,1.334,1
442e966c-6f72-4ca6-9d82-26f96077f96c,C00019,work_sample,2025-08-23,39.56,-1.044,0
49c8fbd2-a798-4fe6-96e9-8d52aa4456a3,C00020,work_sample,2025-09-10,47.84,-0.216,0
e03f4c30-19d5-4e6c-a096-3a6612af33b9,C00021,work_sample,2025-08-23,46.55,-0.345,0
4009db09-fa83-4cf1-9683-962f2a03e931,C00022,work_sample,2025-03-27,57.22,0.722,1
4ed9a449-9b21-4c30-ba74-b537699a1ce1,C00026,work_sample,2025-05-10,51.21,0.121,0
ba69431a-62b3-4e76-b846-371b41a33f8a,C00027,work_sample,2025-12-26,42.57,-0.743,0
7d72777f-7077-4bad-9a67-fd65040e015d,C00028,work_sample,2025-08-13,49.49,-0.051,0
d9bcda64-963e-4d4b-8eed-66834df60473,C00029,work_sample,2025-03-26,36.95,-1.305,0
03d08721-bcb8-4a66-9940-6fb852d40a18,C00033,work_sample,2025-10-14,62.79,1.279,1
8640423b-5e87-4b37-8912-6900cb8bd2f4,C00034,work_sample,2025-01-27,53.37,0.337,0
6df87aab-46ce-4482-8b81-0cf3afcca8de,C00039,work_sample,2025-02-06,60.98,1.098,1
88ae9cde-5c7e-4aea-9af8-851a0a026506,C00041,work_sample,2025-02-21,59.22,0.922,1
ef813cc4-b319-4738-967c-b2003c2c70f5,C00043,work_sample,2025-10-09,63.73,1.373,1
10532f0c-141a-4cf5-809e-a4b75e318f15,C00044,work_sample,2025-01-11,34.64,-1.536,0
f408ea76-8a34-49b5-a391-140b6db08254,C00045,work_sample,2025-05-27,53.6,0.36,0
86c648c7-d535-4b3d-bc55-32907c423aef,C00048,work_sample,2025-09-04,34.4,-1.56,0
b04751a3-e5f7-4fe4-a6f5-02a9a8a74419,C00052,work_sample,2025-03-18,53.32,0.332,0
505f9743-2895-4d05-913e-9200d6d189bd,C00053,work_sample,2025-05-17,59.01,0.901,1
d42d8406-eabd-4a89-a0c6-82f834185d97,C00057,work_sample,2025-06-13,49.51,-0.049,0
8bdaa633-24d7-428e-bfce-90bd4a0ba992,C00058,work_sample,2025-08-11,51.89,0.189,0
cc9687b8-390b-4b8c-8fb9-944a78e05ec2,C00062,work_sample,2026-01-08,73.84,2.384,1
cd6840ec-7958-4ec7-bdc5-82f9549c7e85,C00063,work_sample,2025-03-28,65.54,1.554,1
6336ad60-2a88-4ec9-b364-3ef1e53a9d75,C00066,work_sample,2025-06-16,51.86,0.186,0
0bad1d6b-38cd-4d9a-b52b-de0223f55518,C00067,work_sample,2025-12-20,52.42,0.242,0
07a04a2c-88e6-46ab-b8cd-1000a6132ccb,C00070,work_sample,2025-08-09,39.3,-1.07,0
933fd222-c1e4-40b3-a46b-523bb1ac27e9,C00074,work_sample,2025-02-07,64.92,1.492,1
0703f4a7-d9ca-42a6-98b5-084a4665f067,C00076,work_sample,2025-03-03,44.46,-0.554,0
596b38e0-3f7c-4831-ba75-1f1dcc2e5279,C00077,work_sample,2025-04-12,46.49,-0.351,0
e0526d23-d091-4e60-a6f6-e46271535fe5,C00078,work_sample,2025-07-26,68.92,1.892,1
71411d0c-2098-43e3-bb21-4ea4cea95b98,C00081,work_sample,2025-06-19,67.07,1.707,1
53084a92-8615-40d1-9c47-e368d28f4c01,C00086,work_sample,2025-02-26,53.15,0.315,0
76f62c6a-7c2a-4ff7-a9dd-59a999062e01,C00088,work_sample,2025-08-03,49.96,-0.004,0
4a2eb009-37aa-4e40-9215-180108ca701a,C00090,work_sample,2025-09-29,46.25,-0.375,0
6d438a64-1e89-43b2-99f5-3534c1b995c5,C00091,work_sample,2025-02-04,65.68,1.568,1
f2ad877c-a2c3-4fd7-a629-9e85508c3c5e,C00092,work_sample,2025-10-21,40.9,-0.91,0
be16285f-50d8-44c3-bff5-c284ad3c2d2c,C00093,work_sample,2025-03-07,58.1,0.81,1
67dc9de0-6a10-4df6-b276-74a5da27ce6f,C00096,work_sample,2025-01-22,35.04,-1.496,0
cea8cf20-e005-4c2c-a928-79146a2c8e27,C00104,work_sample,2025-11-20,56.7,0.67,1
1bf8b736-8fb3-4b48-8cb7-bb96fc80665c,C00105,work_sample,2025-01-14,55.19,0.519,1
58237019-3395-45a0-9980-f0d8cd8990e5,C00112,work_sample,2025-01-17,40.51,-0.949,0
