candidate_id,requisition_id,job_family,location,source_channel,application_date,gender_group,race_ethnicity_group
C00001,R1331,Operations,Remote,Referral,2025-02-07,Men,Asian
C00002,R1088,Customer,Remote,Referral,2025-05-04,Women,White
C00003,R1599,Customer,Seattle,Job board,2025-01-24,Men,Asian
C00004,R1573,Operations,Seattle,Job board,2025-07-10,Women,White
C00005,R1544,Customer,Remote,Agency,2025-10-27,Nonbinary/Other,White
C00006,R1083,Corporate,Other,Agency,2025-06-25,Men,Hispanic/Latino
C00007,R1350,Operations,Remote,Agency,2025-01-21,Unknown,Asian
C00008,R1348,Corporate,Other,Agency,2025-10-24,Men,Asian
C00009,R1066,Engineering,Other,Campus,2025-11-28,Men,White
C00010,R1355,Engineering,Remote,Campus,2025-03-28,Men,White
C00011,R1407,Customer,Remote,Referral,2025-03-27,Men,White
C00012,R1285,Customer,Remote,Agency,2025-04-29,Women,Black
C00013,R1149,Customer,Other,Campus,2025-11-09,Men,Unknown
C00014,R1692,Engineering,Remote,Agency,2025-07-23,Women,Asian
C00015,R1451,Operations,Seattle,Campus,2025-11-04,Women,Asian
C00016,R1491,Customer,Remote,Referral,2025-03-15,Women,White
C00017,R1865,Corporate,Other,Campus,2025-03-27,Women,Black
C00018,R1627,Operations,Seattle,Agency,2025-04-27,Women,White
C00019,R1483,Corporate,Seattle,Campus,2025-08-17,Men,White
C00020,R1209,Customer,Other,Referral,2025-09-03,Nonbinary/Other,White
C00021,R1801,Operations,Remote,Job board,2025-08-11,Men,White
C00022,R1162,Operations,Seattle,Referral,2025-03-19,Men,White
C00023,R1216,Engineering,Remote,Job board,2025-05-30,Men,White
C00024,R1062,Corporate,Remote,Agency,2025-09-14,Women,Asian
C00025,R1623,Engineering,Seattle,Job board,2025-03-14,Men,White
C00026,R1568,Customer,Seattle,Referral,2025-05-08,Women,Asian
C00027,R1453,Corporate,Other,Job board,2025-12-21,Women,White
C00028,R1944,Operations,Remote,Job board,2025-08-02,Women,White
C00029,R1310,Engineering,Seattle,Campus,2025-03-15,Women,Asian
C00030,R1852,Operations,Seattle,Agency,2025-09-21,Men,White
C00031,R1346,Customer,Remote,Referral,2025-07-16,Women,White
C00032,R1807,Operations,Seattle,Referral,2025-05-16,Women,Two+
C00033,R1869,Corporate,Remote,Job board,2025-10-02,Nonbinary/Other,White
C00034,R1566,Customer,Remote,Job board,2025-01-23,Men,Hispanic/Latino
C00035,R1954,Corporate,Other,Campus,2025-09-29,Men,Hispanic/Latino
C00036,R1018,Corporate,Seattle,Referral,2025-01-10,Men,White
C00037,R1108,Customer,Other,Agency,2025-10-07,Men,White
C00038,R1350,Operations,Other,Job board,2025-07-27,Unknown,Unknown
C00039,R1900,Corporate,Remote,Job board,2025-01-29,Women,White
C00040,R1331,Operations,Seattle,Campus,2025-04-22,Women,Asian
C00041,R1205,Operations,Other,Referral,2025-02-16,Women,Asian
C00042,R1673,Customer,Remote,Agency,2025-03-18,Women,White
C00043,R1525,Customer,Other,Job board,2025-09-26,Men,White
C00044,R1697,Operations,Remote,Campus,2025-01-02,Men,Asian
C00045,R1067,Customer,Remote,Referral,2025-05-16,Women,White
C00046,R1294,Engineering,Other,Job board,2025-02-09,Men,White
C00047,R1136,Engineering,Remote,Referral,2025-09-06,Women,White
C00048,R1528,Corporate,Remote,Agency,2025-08-27,Men,Unknown
C00049,R1017,Corporate,Remote,Referral,2025-09-17,Unknown,White
C00050,R1215,Engineering,Other,Referral,2025-03-14,Men,Hispanic/Latino
C00051,R1286,Engineering,Other,Campus,2025-04-29,Men,White
C00052,R1697,Customer,Remote,Campus,2025-03-14,Men,White
C00053,R1730,Engineering,Other,Campus,2025-05-10,Women,White
C00054,R1650,Operations,Seattle,Campus,2025-08-12,Men,Black
C00055,R1831,Customer,Other,Job board,2025-02-11,Women,White
C00056,R1293,Customer,Seattle,Job board,2025-03-29,Men,White
C00057,R1266,Customer,Other,Job board,2025-06-04,Men,White
C00058,R1225,Customer,Remote,Agency,2025-08-07,Women,Black
C00059,R1377,Corporate,Other,Job board,2025-01-11,Men,White
C00060,R1346,Engineering,Remote,Campus,2025-10-22,Unknown,Asian
C00061,R1221,Engineering,Remote,Job board,2025-07-16,Women,White
C00062,R1022,Operations,Seattle,Agency,2025-12-30,Men,White
C00063,R1254,Engineering,Seattle,Job board,2025-03-19,Men,White
C00064,R1801,Operations,Seattle,Referral,2025-11-27,Men,Unknown
C00065,R1782,Engineering,Seattle,Referral,2025-06-03,Men,White
C00066,R1010,Corporate,Remote,Campus,2025-06-11,Men,Two+
C00067,R1056,Engineering,Seattle,Agency,2025-12-12,Men,Asian
C00068,R1034,Corporate,Other,Agency,2025-07-05,Men,Black
C00069,R1210,Customer,Seattle,Campus,2025-04-10,Women,Black
C00070,R1507,Operations,Seattle,Agency,2025-08-02,Nonbinary/Other,Asian
C00071,R1053,Engineering,Seattle,Agency,2025-08-19,Men,Two+
C00072,R1337,Operations,Seattle,Agency,2025-01-17,Women,White
C00073,R1111,Engineering,Seattle,Campus,2025-02-11,Women,Unknown
C00074,R1365,Corporate,Remote,Referral,2025-01-26,Men,Black
C00075,R1278,Corporate,Other,Referral,2025-05-15,Men,White
C00076,R1609,Engineering,Seattle,Job board,2025-02-24,Men,Unknown
C00077,R1834,Customer,Seattle,Agency,2025-04-04,Women,Unknown
C00078,R1370,Engineering,Other,Job board,2025-07-20,Men,Hispanic/Latino
C00079,R1177,Operations,Seattle,Agency,2025-08-24,Men,White
C00080,R1124,Corporate,Remote,Campus,2025-10-18,Women,Hispanic/Latino
C00081,R1241,Operations,Remote,Job board,2025-06-17,Women,Hispanic/Latino
C00082,R1860,Customer,Remote,Referral,2025-05-31,Women,Asian
C00083,R1076,Corporate,Other,Job board,2025-08-18,Men,White
C00084,R1726,Corporate,Seattle,Referral,2025-07-08,Women,Asian
C00085,R1935,Operations,Seattle,Campus,2025-07-29,Men,Black
C00086,R1561,Customer,Seattle,Agency,2025-02-21,Men,White
C00087,R1683,Corporate,Remote,Referral,2025-06-09,Men,Two+
C00088,R1821,Corporate,Other,Job board,2025-07-20,Men,Black
C00089,R1092,Customer,Other,Campus,2025-08-24,Men,Asian
C00090,R1406,Engineering,Other,Campus,2025-09-16,Women,White
C00091,R1990,Operations,Remote,Job board,2025-01-23,Unknown,White
C00092,R1866,Operations,Remote,Job board,2025-10-17,Women,White
C00093,R1042,Engineering,Other,Campus,2025-03-02,Women,White
C00094,R1856,Operations,Remote,Agency,2025-02-24,Women,White
C00095,R1672,Engineering,Seattle,Job board,2025-02-12,Nonbinary/Other,Hispanic/Latino
C00096,R1916,Customer,Other,Job board,2025-01-14,Men,Unknown
C00097,R1294,Operations,Other,Job board,2025-02-03,Men,White
C00098,R1926,Customer,Seattle,Campus,2025-09-15,Unknown,White
C00099,R1381,Engineering,Seattle,Job board,2025-07-26,Women,Unknown
C00100,R1803,Corporate,Seattle,Referral,2025-11-22,Men,Unknown
